# Summary generated on 2023-03-15 13:56:56.492053 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20230313050504_tFs0s; 2460016.711854652036; 2023-03-13 05:05:04.241936;    -1;  ...; 352.034671; 139.843719; 140.51870;  1.6977; +64.83939;  0.4327; 118.35525;  0.8913; +46.29596;  0.5825;  12.76689;  0.2957;  89.33724;  0.2217; +13.86773;  0.3231;  38.49630;  0.2346;    2.923697;  0.1672;   0.666581;  0.0198;  13.976666;  0.3305; 197.758474;   0.4878; 352.036117;   0.0001; 189.794591;  0.4877;  -4.224629;  0.1781;   0.974817;  0.0010; 342.238434;  0.4877; 357.316806;  0.2905;    4.872578;  0.3346;   0.197154;  0.0178;   4.999185;  0.4256;   2.864388;  0.1001; 143.42961;  1.3262; +61.00546;  0.3980;   3.99342;  1.4913;  64.19385;  0.4123;  16.92871;  0.2221;  16.00858;  0.0802;    35.301750;  0.0007;  -107.002577;  0.0007;  92.2958;    0.06;    35.255539;  0.0003;  -107.006640;  0.0008;  81.5307;    0.09;     0.74;  +0.81;  88.4440; 0.358; 2.28e-04; 67.45;        94.73;   True;   True;    2; US0005,US000J
20230313050703_O12tI; 2460016.713237019721; 2023-03-13 05:07:03.678504;    -1;  ...; 352.036050; 140.063280; 184.67656;  0.7686;  -2.38847;  0.2244; 185.23936;  0.7734;  -0.33434;  0.2038;  29.03461;  0.1506; 132.02212;  0.1733;  -0.27158;  0.1644;  36.28830;  0.4020;    1.893349;  0.0936;   0.824574;  0.0052;   0.423227;  0.1606; 118.337054; 136.2146; 171.938887; 136.0953; 290.275941;  1.6367;   0.372512;  0.2208;   0.332142;  0.0085; 241.758564;  1.6367; 343.797585;  1.6622;    3.454556;  0.1786;   0.378319;  0.0365;   2.605234;  0.1836;   3.431176;  0.1577; 184.09056;  0.7220;  -1.10677;  0.1998; 121.13598;  0.4759;  35.72588;  0.6067;  31.35368;  0.1404;  30.98632;  0.1155;    34.173150;  0.0005;  -107.282261;  0.0006; 102.0748;    0.13;    34.222720;  0.0001;  -107.381119;  0.0003;  94.3144;    0.04;     0.42;  +1.70;  96.5186; 0.716; 1.78e-05; 26.47;        52.45;   True;   True;    2; US0003,US000G
20230313050902_Ue32Q; 2460016.714617017191; 2023-03-13 05:09:02.910285;    -1;  ...; 352.037427; 246.423051; 305.42324;  4.9278; +79.77259;  0.3494;  68.30539;  2.1418; +73.83524;  0.7549;  14.88302;  0.0278;  79.58160;  0.3396; +22.78762;  0.1986;  36.90018;  0.0924;    2.093254;  0.0357;   0.526339;  0.0080;  22.806519;  0.1926; 173.425558;   0.8392; 352.043524;   0.0000; 165.469083;  0.8391;   2.543635;  0.2947;   0.991494;  0.0008;   6.569014;  0.8391;   1.735934;  0.1647;    3.195015;  0.0721;   0.325440;  0.0078;   3.028542;  0.0786;   3.480392;  0.0366; 288.70168;  3.6599; +76.48274;  0.1488;  13.75469;  0.7200;  48.59769;  0.7270;  18.63134;  0.0222;  18.48945;  0.0350;    39.337624;  0.0002;    -1.420414;  0.0004;  79.0431;    0.04;    39.303384;  0.0002;    -1.431253;  0.0004;  74.5529;    0.03;     0.33;  +0.56;  77.1239; 0.427; 1.31e-04; 30.78;        49.87;   True;   True;    2; ES000W,ES000Z
20230313051008_xJevt; 2460016.715372022241; 2023-03-13 05:10:08.142722;    -1;  ...; 352.038180; 135.981260; 129.45118;  0.0643; -24.84516;  0.1177; 140.47373;  0.0865; -41.62138;  0.1144;  16.92687;  0.0725;  97.77182;  0.0730; -16.48051;  0.0626;  39.64017;  0.0504;    4.144494;  0.0817;   0.778767;  0.0042;  17.085629;  0.0682;  34.582475;   0.0672; 172.034136;   0.0000; 206.616611;  0.0672;   9.599424;  0.0482;   0.916898;  0.0005; 325.420019;  0.0672; 357.150541;  0.0801;    7.372090;  0.1638;   0.116815;  0.0032;   8.437386;  0.2529;   2.325913;  0.0226; 131.42689;  0.0542; -19.59842;  0.1086; 185.19432;  0.0664;  34.28312;  0.1073;  20.21214;  0.0607;  20.02458;  0.0131;    35.951287;  0.0002;  -112.134768;  0.0001;  93.8129;    0.02;    36.122027;  0.0002;  -112.115599;  0.0001;  80.7021;    0.01;     1.16;  -0.18;  83.8266; 0.762; 6.47e-04; 80.78;        48.32;   True;   True;    4; US000U,USL008,USL00G,USL00M
20230313051046_1pFI9; 2460016.715811536647; 2023-03-13 05:10:46.116766;    -1;  ...; 352.038619; 244.196450; 219.15240;  1.9066; +55.47639;  1.0219; 180.07907;  0.3876; +63.92838;  1.5004;  31.65183;  0.9295; 107.43188;  1.9584; +42.50906;  0.3246;  42.07229;  0.6337;   57.798229; 4.5e+03;   0.984539;  0.0532;  45.416010;  0.5788; 217.156176;   1.7561; 352.041497;   0.0000; 209.197673;  1.7561; -25.478659;  1.3165;   0.893643;  0.0124; 322.840590;  1.7561; 359.945485;     nan;  114.702814; 9.0e+03;   0.002243;  0.0257; 439.412526;     nan;   0.909583;  0.3237; 220.90766;  1.9461; +55.49996;  0.9820; 295.73157;  3.5048;  75.60600;  1.1232;  33.47489;  0.8815;  33.54292;  0.6213;    51.378495;  0.0007;    -4.078148;  0.0037; 102.8493;    0.14;    51.360516;  0.0008;    -4.018622;  0.0047;  84.6757;    0.11;     0.56;  -2.25;  84.6757; 1.000; 6.29e-04; 11.08;        35.55;   True;   True;    2; UK0006,UK004G
20230313052407_y4eOm; 2460016.725086253602; 2023-03-13 05:24:07.452311;    -1;  ...; 352.047873; 140.323295; 132.12046;  0.4862; -10.75834;  0.4659; 137.94960;  0.3706; -27.45855;  0.5807;  12.24110;  0.3482;  95.34463;  0.4564;  -8.66698;  0.0511;  37.47419;  0.2302;    2.327994;  0.1091;   0.602655;  0.0194;   8.902177;  0.0629;  35.315825;   0.5011; 172.041766;   0.0000; 207.357590;  0.5011;   5.132378;  0.0927;   0.925017;  0.0032; 324.688801;  0.5011; 352.665526;  0.4554;    3.730971;  0.2213;   0.277480;  0.0188;   3.552004;  0.2520;   3.290101;  0.0970; 134.72704;  0.3678;  -4.79973;  0.2028; 188.78319;  0.5587;  50.47599;  0.2520;  16.49007;  0.2578;  16.06207;  0.2523;    34.371329;  0.0008;  -111.299121;  0.0004;  84.5504;    0.16;    34.429307;  0.0004;  -111.288348;  0.0002;  76.5689;    0.06;     0.64;  +2.38;  78.6030; 0.745; 5.81e-05; 32.32;        62.79;   True;   True;    2; USL007,USL00J
20230313052653_KkkRI; 2460016.727013290394; 2023-03-13 05:26:53.948290;    -1;  ...; 352.049796; 143.326072; 139.78784;  0.4101;  -2.64463;  0.2560; 143.07083;  0.3557; -17.38896;  0.3432;  13.23737;  0.1263;  98.38622;  0.2261;  -6.00982;  0.0872;  37.80986;  0.0590;    2.493357;  0.0320;   0.641619;  0.0051;   6.260969;  0.0872;  42.102211;   0.4446; 172.041387;   0.0001; 214.143598;  0.4445;   4.193092;  0.0519;   0.893571;  0.0024; 317.904786;  0.4445; 352.419892;  0.1408;    4.093143;  0.0654;   0.250339;  0.0047;   3.937108;  0.0763;   3.142740;  0.0254; 141.71251;  0.3592;  +1.72606;  0.1960; 182.96148;  0.6565;  56.99085;  0.2069;  17.26460;  0.0973;  17.22012;  0.0289;    34.700967;  0.0002;  -108.992277;  0.0005;  90.6493;    0.04;    34.761314;  0.0001;  -108.988467;  0.0005;  80.2013;    0.04;     0.72;  +0.92;  83.5213; 0.682; 2.20e-04; 80.71;        94.35;   True;   True;    3; US000J,USL017,USL01B
20230313052810_aStsu; 2460016.727896185126; 2023-03-13 05:28:10.230395;    -1;  ...; 352.050677; 140.616072; 142.51356;  8.5380; +88.39905;  0.2031;  93.07111;  0.2228; +65.55685;  0.2584;  14.44330;  0.1102;  83.11916;  0.0616; +20.14514;  0.0560;  38.17140;  0.1181;    2.701957;  0.0681;   0.632351;  0.0101;  20.148357;  0.0563; 182.591739;   0.1281; 352.051203;   0.0000; 174.642943;  0.1281;  -0.892462;  0.0460;   0.993373;  0.0000; 357.406068;  0.1281; 359.547293;  0.0089;    4.410541;  0.1363;   0.221915;  0.0093;   4.441384;  0.1647;   2.974175;  0.0498; 150.78741;  1.2395; +82.37083;  0.1139;   1.83039;  0.1780;  42.77717;  0.1424;  18.22631;  0.0869;  17.80006;  0.0503;    35.280744;  0.0005;  -112.020996;  0.0003;  88.6174;    0.09;    35.146740;  0.0003;  -112.026336;  0.0002;  74.7045;    0.02;     1.16;  +1.10;  82.4840; 0.441; 2.38e-04; 60.64;        76.82;   True;   True;    4; USL008,USL00C,USL00G,USL00M
20230313053554_E0rKP; 2460016.733270993922; 2023-03-13 05:35:54.613875;    -1;  ...; 352.056040; 143.391948; 164.86246;  0.1956; +12.54295;  0.1505; 161.22829;  0.1575;  +5.61622;  0.1858;  16.82966;  0.4062; 107.81456;  0.4909;  +2.56120;  0.0687;  36.79981;  0.2604;    2.057574;  0.0996;   0.636728;  0.0180;   2.843012;  0.0760; 248.707613;   0.2468; 352.069638;   0.0004; 240.777251;  0.2466;  -2.648803;  0.0723;   0.747460;  0.0041; 291.277319;  0.2466; 345.584357;  1.0748;    3.367688;  0.2030;   0.333942;  0.0220;   2.951439;  0.2189;   3.497817;  0.1102; 164.63876;  0.1654; +14.23819;  0.1847; 130.98125;  0.4323;  62.27139;  0.1477;  20.29634;  0.3400;  18.75467;  0.2046;    34.250492;  0.0005;  -111.185578;  0.0003;  94.5651;    0.09;    34.283748;  0.0004;  -111.231864;  0.0002;  83.7207;    0.07;     0.64;  +2.46;  87.7093; 0.632; 4.58e-05; 58.78;        77.56;   True;   True;    2; USL007,USL00J
20230313053634_ehvhI; 2460016.733734321315; 2023-03-13 05:36:34.645362;    -1;  ...; 352.056502; 142.998962; 172.01391;  1.3305;  +0.52081;  0.1210; 172.45964;  1.2108;  -2.68923;  0.5688;  22.70641;  0.6613; 118.74581;  0.4246;  -1.64582;  0.3568;  37.18274;  0.7686;    2.202279;  0.5404;   0.741904;  0.0357;   2.052714;  0.4519;  90.306295;   2.4646; 172.034256;   0.0036; 262.340552;  2.4612;   2.052685;  0.4455;   0.568399;  0.0091; 269.714503;  2.4613; 346.309354;  2.9389;    3.836159;  1.0745;   0.301575;  0.0597;   3.268203;  1.4202;   3.234915;  0.3292; 171.72667;  1.2244;  +2.24258;  0.1576; 133.88127;  1.6478;  48.21517;  0.5979;  25.46423;  0.5969;  23.91768;  0.6756;    34.332198;  0.0014;  -111.745395;  0.0001;  85.2564;    0.23;    34.374426;  0.0015;  -111.798524;  0.0001;  77.6023;    0.23;     0.44;  +1.18;  82.1309; 0.408; 6.81e-05; 25.55;        56.91;   True;   True;    3; USL00E,USL00J,USL014
