m,kg/m^3
0,1.15547628487169
1000,1.07285463877728
2000,0.980067095514131
3000,0.889057912662937
4000,0.810802703155867
5000,0.731938438179305
6000,0.656473079910475
7000,0.590153935745371
8000,0.532750468462021
9000,0.476528304036137
10000,0.425788029448183
11000,0.379180285190061
12000,0.330823434208912
13000,0.288907423526933
14000,0.245042567198437
15000,0.214234811550143
16000,0.18215200735223
17000,0.154644163671499
18000,0.132275256104141
19000,0.111081827231247
20000,0.0951609039615665
21000,0.0799610701499769
22000,0.0697533037473164
23000,0.0596141343039064
24000,0.0495781378993579
25000,0.0426950785036101
26000,0.0364493101087101
27000,0.0307608549320014
28000,0.0272679772320078
29000,0.0238128408115528
30000,0.0203942884648168
31000,0.0206257932526537
32000,0.0178326710936148
33000,0.0154343574011934
34000,0.0133795029172474
35000,0.0116160360897134
36000,0.0101001655335041
37000,0.00879508399161219
38000,0.00766971705565234
39000,0.0066978283821614
40000,0.00585724229113495
41000,0.00512913107452259
42000,0.00449753939271833
43000,0.00394889488131821
44000,0.00347163365821341
45000,0.00305590809737539
46000,0.00269329205862237
47000,0.00237658443673615
48000,0.00209840076891992
49000,0.00185281861887876
50000,0.00163601540798008
51000,0.00144461371610218
52000,0.00127488272818337
53000,0.00112378145899622
54000,0.000989407600330647
55000,0.000870041524943523
56000,0.0007641267688986
57000,0.000670253958119493
58000,0.000587152567511908
59000,0.000513673929837648
60000,0.000450022864900989
61000,0.000450022864900989
62000,0.000450022864900989
63000,0.000450022864900989
64000,0.000450022864900989
65000,0.000450022864900989
66000,0.000450022864900989
67000,0.000450022864900989
68000,0.000450022864900989
69000,0.000450022864900989
70000,0.000450022864900989
71000,0.000450022864900989
72000,0.000450022864900989
73000,0.000450022864900989
74000,0.000450022864900989
75000,0.000450022864900989
76000,0.000450022864900989
77000,0.000450022864900989
78000,0.000450022864900989
79000,0.000450022864900989
80000,0.000450022864900989
